no	effector	l1	l2	p.value
"3419"	"hopAW"	-57.535763	-55.963225	3.145076	0.533847511516197
"3420"	"hopAX"	-48.062667	-47.246366	1.632602	0.802920972932765
"3421"	"hopAY"	-99.399526	-96.515504	5.768044	0.21715350367359
"3422"	"hopAZ"	-97.305653	-96.306921	1.997464	0.73622535334921
"3423"	"hopBA"	-56.758852	-55.319971	2.877762	0.578485572334372
"3424"	"hopBB"	-76.42517	-71.550838	9.748664	0.0448810488222061
"3425"	"hopBC"	-55.903204	-54.451336	2.903736	0.574062033053365
"3426"	"hopBD"	-75.964314	-72.710685	6.507258	0.164333644670799
"3427"	"hopBE"	-48.567171	-46.108362	4.917618	0.295855331270568
"3428"	"hopBF"	-84.05626	-69.136822	29.838876	5.27834940549943e-06
"3429"	"hopBG"	-39.624522	-39.15005	0.948944	0.917436381524749
"3430"	"hopBH"	-43.955988	-43.325659	1.260658	0.868014234678048
"3431"	"hopBI"	-55.395777	-54.063403	2.664748	0.615397199371348
"3432"	"hopBJ"	-34.998408	-34.842897	0.311022	0.989091603181749
"3433"	"hopBK"	-49.271546	-48.634451	1.27419	0.865739113601507
"3434"	"hopBL"	-56.57954	-54.642908	3.873264	0.42342932854683
"3435"	"hopB"	-58.450129	-57.28735	2.325558	0.676119778735085
"3436"	"hopC"	-57.268023	-55.121725	4.292596	0.367853147416169
"3437"	"hopD"	-72.281583	-69.571799	5.419568	0.246890503552182
"3438"	"hopE"	-63.300446	-62.992249	0.616394	0.961224634367231
"3439"	"hopF"	-78.609322	-74.585759	8.047126	0.0898670828860606
"3440"	"hopG"	-67.677583	-65.605659	4.143848	0.386888042139487
"3441"	"hopH"	-90.624016	-83.100075	15.047882	0.00460293006589295
"3442"	"hopI"	-47.078015	-45.932848	2.290334	0.682529455117654
"3443"	"hopK"	-39.664812	-39.433303	0.463018	0.976999876557899
"3444"	"hopM"	-74.737348	-71.215505	7.043686	0.133597551399211
"3445"	"hopN"	-51.850712	-51.206256	1.288912	0.86325394777923
"3446"	"hopO"	-65.655995	-64.074385	3.16322	0.530891948807211
"3447"	"hopQ"	-71.010277	-68.31426	5.392034	0.249384038679372
"3448"	"hopR"	-71.972372	-69.129734	5.685276	0.223917210797989
"3449"	"hopS"	-42.011965	-41.8536	0.31673	0.988708758124829
"3450"	"hopT"	-62.52055	-60.385817	4.269466	0.370764200352087
"3451"	"hopU"	-41.658934	-41.023708	1.270452	0.866368467418963
"3452"	"hopV"	-58.191609	-54.756916	6.869386	0.142953681221813
"3453"	"hopW"	-71.067845	-68.711649	4.712392	0.318100531223361
"3454"	"hopX"	-105.17302	-104.577066	1.191908	0.879429107559872
"3455"	"hopY"	-37.623811	-37.571984	0.103654	0.998702494612102
"3456"	"hopZ"	-96.858463	-93.731984	6.252958	0.181036882271104
"3457"	"avrA"	-54.343394	-51.681621	5.323546	0.255680785642056
"3458"	"avrB"	-91.525608	-87.151735	8.747746	0.0677233589497632
"3459"	"avrD1"	-82.054192	-78.005557	8.09727	0.0880793566914361
"3460"	"avrE1"	-56.804156	-56.394297	0.819718	0.935785214420439
"3461"	"avrPto"	-86.887975	-81.660461	10.455028	0.0334221380146209
"3462"	"avrRpm"	-80.74256	-78.979894	3.525332	0.474037026924368
"3463"	"avrRps4"	-76.409386	-73.466791	5.88519	0.207887987899264
"3464"	"avrRpt2"	-50.977588	-50.371911	1.211354	0.876225741471437
"3465"	"hopA1"	-91.697977	-90.265386	2.865182	0.580634356187818
"3466"	"hopAA"	-76.032166	-74.087887	3.888558	0.421297925269121
"3467"	"hopAB"	-86.238309	-78.548733	15.379152	0.00397610789642709
"3468"	"hopAD"	-39.664812	-39.435447	0.45873	0.97739224930703
"3469"	"hopAE"	-79.711518	-76.377765	6.667506	0.154537407881318
"3470"	"hopAF"	-100.815911	-99.370347	2.891128	0.576207045530775
"3471"	"hopAG"	-66.818747	-64.568268	4.500958	0.342433900925619
"3472"	"hopAH"	-55.769689	-53.974546	3.590286	0.464283588234673
"3473"	"hopAI"	-60.369009	-58.108157	4.521704	0.339981699073844
"3474"	"hopAL"	-53.692517	-51.714088	3.956858	0.411875969565499
"3475"	"hopAM"	-52.902758	-51.7936	2.218316	0.695677433086154
"3476"	"hopAO"	-69.468744	-66.729166	5.479156	0.241567768785837
"3477"	"hopAQ"	-39.664812	-39.431397	0.46683	0.976648706561972
"3478"	"hopAR"	-72.990154	-66.985403	12.009502	0.0172807456260522
"3479"	"hopAS"	-56.806437	-54.776719	4.059436	0.398021818791213
"3480"	"hopAT"	-77.775445	-75.695872	4.159146	0.384896023889366
"3481"	"hopAU"	-50.368246	-49.540823	1.654846	0.798902616549857
"3482"	"hopAV"	-67.008293	-64.477828	5.06093	0.281102639930665
"3483"	"hopAW"	-57.535763	-55.96462	3.142286	0.534302856982714
"3484"	"hopAX"	-48.062667	-47.243139	1.639056	0.801756067028467
"3485"	"hopAY"	-99.399526	-96.501843	5.795366	0.214960556467144
"3486"	"hopAZ"	-97.305653	-96.387622	1.836062	0.765878405804986
"3487"	"hopBA"	-56.758852	-55.319645	2.878414	0.578374316497731
"3488"	"hopBB"	-76.42517	-71.505594	9.839152	0.0432260837560648
"3489"	"hopBC"	-55.903204	-54.452236	2.901936	0.574368012447474
"3490"	"hopBD"	-75.964314	-72.701916	6.524796	0.163234724356028
"3491"	"hopBE"	-48.558618	-46.085172	4.946892	0.292790244548457
"3492"	"hopBF"	-84.05626	-69.128637	29.855246	5.23801419159445e-06
"3493"	"hopBG"	-39.624522	-39.168696	0.911652	0.922883230920216
"3494"	"hopBH"	-43.955988	-43.310317	1.291342	0.862842768546356
"3495"	"hopBI"	-55.395777	-54.06065	2.670254	0.614429723247979
"3496"	"hopBJ"	-35.009885	-34.958127	0.103516	0.998705887916073
"3497"	"hopBK"	-49.271546	-48.633549	1.275994	0.865435140383177
"3498"	"hopBL"	-56.57954	-54.632162	3.894756	0.420436408865089
"3499"	"hopB"	-58.450129	-57.282655	2.334948	0.674413694848525
"3500"	"hopC"	-57.268023	-55.119628	4.29679	0.367327227243974
"3501"	"hopD"	-72.281583	-69.548941	5.465284	0.242797939537685
"3502"	"hopE"	-63.300446	-62.992234	0.616424	0.96122123749884
"3503"	"hopF"	-78.609322	-74.585759	8.047126	0.0898670828860606
"3504"	"hopG"	-67.677583	-65.618054	4.119058	0.390132826352608
"3505"	"hopH"	-90.624016	-83.100074	15.047884	0.00460292600296487
"3506"	"hopI"	-47.078015	-45.931554	2.292922	0.68205801375803
"3507"	"hopK"	-39.664812	-39.430675	0.468274	0.976515105649929
"3508"	"hopM"	-74.737348	-71.215505	7.043686	0.133597551399211
"3509"	"hopN"	-51.850712	-51.206215	1.288994	0.86324007707999
"3510"	"hopO"	-65.655995	-64.074385	3.16322	0.530891948807211
"3511"	"hopQ"	-71.010277	-68.377777	5.265	0.261171269068871
"3512"	"hopR"	-71.972372	-69.174088	5.596568	0.23137057936394
"3513"	"hopS"	-42.011965	-41.854686	0.314558	0.98885512941305
"3514"	"hopT"	-62.52055	-60.385884	4.269332	0.370781117351635
"3515"	"hopU"	-41.658934	-41.035276	1.247316	0.870248590822411
"3516"	"hopV"	-58.191609	-54.787564	6.80809	0.146384059993568
"3517"	"hopW"	-71.067845	-68.664611	4.806468	0.3077375886708
"3518"	"hopX"	-105.17302	-104.577066	1.191908	0.879429107559872
"3519"	"hopY"	-37.62691	-37.606817	0.040186	0.999800819449526
"3520"	"hopZ"	-96.858463	-93.727803	6.26132	0.180464210707228
"3521"	"avrA"	-54.343394	-51.659079	5.36863	0.251520600973807
"3522"	"avrB"	-91.525608	-87.161851	8.727514	0.0682831439181701
"3523"	"avrD1"	-82.054192	-78.005557	8.09727	0.0880793566914361
"3524"	"avrE1"	-56.804156	-56.394298	0.819716	0.935785486461626
"3525"	"avrPto"	-86.887975	-81.60079	10.57437	0.0317878364089295
"3526"	"avrRpm"	-80.74256	-78.980579	3.523962	0.47424423602771
"3527"	"avrRps4"	-76.409386	-73.466792	5.885188	0.207888143058583
"3528"	"avrRpt2"	-50.977588	-50.37001	1.215156	0.875597033329004
"3529"	"hopA1"	-91.697977	-90.265386	2.865182	0.580634356187818
"3530"	"hopAA"	-76.032166	-74.087887	3.888558	0.421297925269121
"3531"	"hopAB"	-86.238309	-78.541871	15.392876	0.00395203562993939
"3532"	"hopAD"	-39.664812	-39.42994	0.469744	0.976378774707745
"3533"	"hopAE"	-79.711518	-76.377849	6.667338	0.154547393959057
"3534"	"hopAF"	-104.844268	-101.528148	6.63224	0.156646571300353
"3535"	"hopAG"	-66.818747	-64.615857	4.40578	0.353866175452628
"3536"	"hopAH"	-55.769689	-53.908829	3.72172	0.444974758423497
"3537"	"hopAI"	-60.369009	-58.108246	4.521526	0.340002678681882
"3538"	"hopAL"	-53.692517	-51.352831	4.679372	0.32180509574882
"3539"	"hopAM"	-52.902758	-51.792107	2.221302	0.695131272962977
"3540"	"hopAO"	-69.468744	-66.72898	5.479528	0.24153485427846
"3541"	"hopAQ"	-39.664812	-39.429862	0.4699	0.976364287742959
"3542"	"hopAR"	-72.990154	-66.985392	12.009524	0.0172805826756364
"3543"	"hopAS"	-56.806437	-54.911372	3.79013	0.435153064782615
"3544"	"hopAT"	-77.775445	-75.705855	4.13918	0.387497455055832
"3545"	"hopAU"	-50.369622	-49.546699	1.645846	0.800529621674266
"3546"	"hopAV"	-67.008293	-64.477979	5.060628	0.281133064898463
"3547"	"hopAW"	-57.535763	-55.990107	3.091312	0.542662541433511
"3548"	"hopAX"	-48.062667	-47.240622	1.64409	0.800846886328901
"3549"	"hopAY"	-99.399526	-96.524585	5.749882	0.218622110348913
"3550"	"hopAZ"	-97.305653	-96.275434	2.060438	0.724643600152716
"3551"	"hopBA"	-56.758852	-55.319047	2.87961	0.57817026248087
"3552"	"hopBB"	-76.42517	-71.534402	9.781536	0.0442729401521698
"3553"	"hopBC"	-55.903204	-54.44903	2.908348	0.573278437152608
"3554"	"hopBD"	-75.964314	-72.714035	6.500558	0.164755228167193
"3555"	"hopBE"	-48.562078	-46.042098	5.03996	0.283221870946994
"3556"	"hopBF"	-84.05626	-69.086151	29.940218	5.03352405151974e-06
"3557"	"hopBG"	-39.624522	-39.16826	0.912524	0.92275721197763
"3558"	"hopBH"	-43.955988	-43.299851	1.312274	0.859289651231196
"3559"	"hopBI"	-55.395777	-54.058282	2.67499	0.6135980807052
"3560"	"hopBJ"	-34.99989	-34.814872	0.370036	0.984855808677774
"3561"	"hopBK"	-49.271546	-48.627257	1.288578	0.863310442263284
"3562"	"hopBL"	-56.57954	-54.631454	3.896172	0.420239768262176
"3563"	"hopB"	-58.450129	-57.292914	2.31443	0.678143092730458
"3564"	"hopC"	-57.268023	-55.120859	4.294328	0.367635886256511
"3565"	"hopD"	-72.281583	-69.583543	5.39608	0.24901626821971
"3566"	"hopE"	-63.300446	-62.782338	1.036216	0.904255634252501
"3567"	"hopF"	-78.609322	-74.58576	8.047124	0.0898671548640582
"3568"	"hopG"	-67.677583	-65.604506	4.146154	0.38658726250915
"3569"	"hopH"	-90.624016	-83.100074	15.047884	0.00460292600296487
"3570"	"hopI"	-46.891243	-45.93313	1.916226	0.751163646917807
"3571"	"hopK"	-39.664812	-39.429002	0.47162	0.976204315853537
"3572"	"hopM"	-74.737348	-71.215505	7.043686	0.133597551399211
"3573"	"hopN"	-51.850712	-51.206236	1.288952	0.863247181623671
"3574"	"hopO"	-65.655995	-64.074385	3.16322	0.530891948807211
"3575"	"hopQ"	-71.010277	-68.351096	5.318362	0.256162915531052
"3576"	"hopR"	-71.972372	-69.087164	5.770416	0.216962342284616
"3577"	"hopS"	-42.011965	-41.853715	0.3165	0.988724297990287
"3578"	"hopT"	-62.52055	-60.385803	4.269494	0.370760665532757
"3579"	"hopU"	-41.658934	-41.009469	1.29893	0.861557046907608
"3580"	"hopV"	-58.191609	-54.804946	6.773326	0.148362867488725
"3581"	"hopW"	-71.067845	-68.880286	4.375118	0.357613108354306
"3582"	"hopX"	-105.17302	-104.577066	1.191908	0.879429107559872
"3583"	"hopY"	-37.652852	-37.581516	0.142672	0.99757341667907
"3584"	"hopZ"	-96.858463	-93.730348	6.25623	0.180812605334908
"3585"	"avrA"	-54.343394	-51.496714	5.69336	0.223248548396578
"3586"	"avrB"	-91.525608	-87.152597	8.746022	0.0677708890704392
"3587"	"avrD1"	-82.054192	-78.005558	8.097268	0.088079427324647
"3588"	"avrE1"	-56.804156	-56.394298	0.819716	0.935785486461626
"3589"	"avrPto"	-86.887975	-81.697661	10.380628	0.0344816428585831
"3590"	"avrRpm"	-80.74256	-78.980124	3.524872	0.474106593937106
"3591"	"avrRps4"	-76.409386	-73.466818	5.885136	0.207892177236833
"3592"	"avrRpt2"	-50.977588	-50.362483	1.23021	0.873100132891467
"3593"	"hopA1"	-91.697977	-90.26539	2.865174	0.580635723967367
"3594"	"hopAA"	-76.032166	-74.087887	3.888558	0.421297925269121
"3595"	"hopAB"	-86.238309	-78.557813	15.360992	0.00400818270923069
"3596"	"hopAD"	-39.664812	-39.433737	0.46215	0.977079529436524
"3597"	"hopAE"	-79.711518	-76.378211	6.666614	0.154590435917482
"3598"	"hopAF"	-104.844268	-101.296465	7.095606	0.130921320800428
"3599"	"hopAG"	-66.818747	-64.574854	4.487786	0.343998202036244
"3600"	"hopAH"	-55.769689	-53.97754	3.584298	0.46517693064157
"3601"	"hopAI"	-60.369009	-58.154878	4.428262	0.351138700891275
"3602"	"hopAL"	-53.692517	-51.630166	4.124702	0.389392254003765
"3603"	"hopAM"	-52.902758	-51.809384	2.186748	0.701456156087066
"3604"	"hopAO"	-69.468744	-66.585736	5.766016	0.217317059312788
"3605"	"hopAQ"	-39.664812	-39.434565	0.460494	0.9772311749663
"3606"	"hopAR"	-72.990154	-66.985393	12.009522	0.0172805974892488
"3607"	"hopAS"	-56.806437	-54.797514	4.017846	0.403596043902399
"3608"	"hopAT"	-77.775445	-75.709452	4.131986	0.388438080566541
"3609"	"hopAU"	-50.370808	-49.545156	1.651304	0.799543118369013
"3610"	"hopAV"	-67.008293	-64.477842	5.060902	0.281105460671742
"3611"	"hopAW"	-57.535763	-55.969013	3.1335	0.535738294968319
"3612"	"hopAX"	-48.062667	-47.245905	1.633524	0.802754609168449
"3613"	"hopAY"	-99.399526	-96.505763	5.787526	0.215587815102157
"3614"	"hopAZ"	-97.305653	-96.278836	2.053634	0.725894626096436
"3615"	"hopBA"	-56.758852	-55.319321	2.879062	0.578263754178469
"3616"	"hopBB"	-76.42517	-71.523627	9.803086	0.0438785732965307
"3617"	"hopBC"	-55.903204	-54.450633	2.905142	0.573823088755887
"3618"	"hopBD"	-75.964314	-72.719157	6.490314	0.165401703655206
"3619"	"hopBE"	-48.560844	-46.044773	5.032142	0.284015397148372
"3620"	"hopBF"	-84.05626	-69.07623	29.96006	4.98692942987793e-06
"3621"	"hopBG"	-39.624522	-39.172268	0.904508	0.923913184644922
"3622"	"hopBH"	-43.955988	-43.325686	1.260604	0.868023295742249
"3623"	"hopBI"	-55.395777	-54.056487	2.67858	0.612968006876125
"3624"	"hopBJ"	-35.019639	-34.980478	0.078322	0.99925293599304
"3625"	"hopBK"	-49.271546	-48.621343	1.300406	0.861306643951643
"3626"	"hopBL"	-56.57954	-54.56893	4.02122	0.403141652416919
"3627"	"hopB"	-58.450129	-57.270637	2.358984	0.670051852448809
"3628"	"hopC"	-57.268023	-55.118353	4.29934	0.367007749790507
"3629"	"hopD"	-72.281583	-69.50756	5.548046	0.235538367672507
"3630"	"hopE"	-63.300446	-62.781589	1.037714	0.90402440551791
"3631"	"hopF"	-78.609322	-74.585759	8.047126	0.0898670828860606
"3632"	"hopG"	-67.677583	-65.594069	4.167028	0.383872756623924
"3633"	"hopH"	-90.624016	-83.100075	15.047882	0.00460293006589295
"3634"	"hopI"	-47.078015	-45.932099	2.291832	0.682256563443885
"3635"	"hopK"	-39.664812	-39.435686	0.458252	0.977435814401156
"3636"	"hopM"	-74.737348	-71.215505	7.043686	0.133597551399211
"3637"	"hopN"	-51.850712	-51.206639	1.288146	0.863383505247537
"3638"	"hopO"	-65.655995	-64.074385	3.16322	0.530891948807211
"3639"	"hopQ"	-71.010277	-68.37054	5.279474	0.259804572789572
"3640"	"hopR"	-71.972372	-69.102096	5.740552	0.219379937548468
"3641"	"hopS"	-42.011965	-41.854072	0.315786	0.988772478588014
"3642"	"hopT"	-62.52055	-60.385788	4.269524	0.370756878255524
"3643"	"hopU"	-41.658934	-41.049808	1.218252	0.875084500272939
"3644"	"hopV"	-58.191609	-54.795726	6.791766	0.147310219527099
"3645"	"hopW"	-71.067845	-68.696671	4.742348	0.314770036901479
"3646"	"hopX"	-105.17302	-104.577065	1.19191	0.879428779167279
"3647"	"hopY"	-37.65521	-37.657137	-0.003854	1
"3648"	"hopZ"	-96.858463	-93.729095	6.258736	0.180641002050717
"3649"	"avrA"	-54.343394	-51.658254	5.37028	0.251369456656124
"3650"	"avrB"	-91.525608	-87.151214	8.748788	0.0676946466673191
"3651"	"avrD1"	-82.054192	-78.005558	8.097268	0.088079427324647
"3652"	"avrE1"	-56.804156	-56.394297	0.819718	0.935785214420439
"3653"	"avrPto"	-86.887975	-81.695283	10.385384	0.0344129575400247
"3654"	"avrRpm"	-80.74256	-78.979477	3.526166	0.473910916559372
"3655"	"avrRps4"	-76.409386	-73.466791	5.88519	0.207887987899264
"3656"	"avrRpt2"	-50.977588	-50.361281	1.232614	0.872700298564935
"3657"	"hopA1"	-91.697977	-90.265387	2.86518	0.580634698132551
"3658"	"hopAA"	-76.032166	-74.087887	3.888558	0.421297925269121
"3659"	"hopAB"	-86.238309	-78.586481	15.303656	0.00411112990621164
"3660"	"hopAD"	-39.664812	-39.435353	0.458918	0.977375105328357
"3661"	"hopAE"	-79.711518	-76.377635	6.667766	0.154521954394769
"3662"	"hopAF"	-100.815911	-101.439437	-1.247052	1
"3663"	"hopAG"	-66.818747	-64.559927	4.51764	0.340460953718199
"3664"	"hopAH"	-55.769689	-53.979382	3.580614	0.465727129964828
"3665"	"hopAI"	-60.369009	-58.10816	4.521698	0.339982406234685
"3666"	"hopAL"	-53.692517	-51.439437	4.50616	0.341817687983237
"3667"	"hopAM"	-52.902758	-51.786583	2.23235	0.693111230978138
"3668"	"hopAO"	-69.468744	-66.751849	5.43379	0.245610984714902
"3669"	"hopAQ"	-39.664812	-39.428041	0.473542	0.976025028414423
"3670"	"hopAR"	-72.990154	-66.985392	12.009524	0.0172805826756364
"3671"	"hopAS"	-56.806437	-54.901189	3.810496	0.432259471189891
"3672"	"hopAT"	-77.775445	-75.721659	4.107572	0.391643274437743
"3673"	"hopAU"	-50.371218	-49.547161	1.648114	0.800119762946045
"3674"	"hopAV"	-67.008293	-64.483757	5.049072	0.282299362035779
"3675"	"hopAW"	-57.535763	-55.97692	3.117686	0.538327699811263
"3676"	"hopAX"	-48.062667	-47.239802	1.64573	0.800550581784667
"3677"	"hopAY"	-99.399526	-96.501211	5.79663	0.214859577636414
"3678"	"hopAZ"	-97.305653	-96.436935	1.737436	0.783906625591475
"3679"	"hopBA"	-56.758852	-55.319038	2.879628	0.578167191718406
"3680"	"hopBB"	-76.42517	-71.490496	9.869348	0.0426869553030028
"3681"	"hopBC"	-55.903204	-54.451191	2.904026	0.574012744386199
"3682"	"hopBD"	-75.964314	-72.725809	6.47701	0.166244715357991
"3683"	"hopBE"	-48.555253	-46.137984	4.834538	0.304700087464751
"3684"	"hopBF"	-84.05626	-69.06684	29.97884	4.94322430437628e-06
"3685"	"hopBG"	-39.624522	-39.180228	0.888588	0.926192317934798
"3686"	"hopBH"	-43.955988	-43.316739	1.278498	0.865012959679829
"3687"	"hopBI"	-55.395777	-54.063029	2.665496	0.615265726904894
"3688"	"hopBJ"	-35.015532	-34.944566	0.141932	0.997597934517487
"3689"	"hopBK"	-49.271546	-48.643521	1.25605	0.86878692772544
"3690"	"hopBL"	-56.57954	-54.56972	4.01964	0.403354390047922
"3691"	"hopB"	-58.450129	-57.286472	2.327314	0.675800642247273
"3692"	"hopC"	-57.268023	-55.128305	4.279436	0.369507214766254
"3693"	"hopD"	-72.281583	-69.519664	5.523838	0.237642033028677
"3694"	"hopE"	-63.300446	-62.992235	0.616422	0.961221463960291
"3695"	"hopF"	-78.609322	-74.585759	8.047126	0.0898670828860606
"3696"	"hopG"	-67.677583	-65.594765	4.165636	0.384053318317672
"3697"	"hopH"	-90.624016	-83.100075	15.047882	0.00460293006589295
"3698"	"hopI"	-46.891243	-46.271309	1.239868	0.871492001144499
"3699"	"hopK"	-39.664812	-39.431268	0.467088	0.976624859240614
"3700"	"hopM"	-74.737348	-71.215506	7.043684	0.133597655451866
"3701"	"hopN"	-51.850712	-51.206213	1.288998	0.86323940045249
"3702"	"hopO"	-65.655995	-64.074385	3.16322	0.530891948807211
"3703"	"hopQ"	-71.010277	-68.365833	5.288888	0.258918954329736
"3704"	"hopR"	-71.972372	-69.129437	5.68587	0.223868018829257
"3705"	"hopS"	-42.011965	-41.853569	0.316792	0.988704567491853
"3706"	"hopT"	-62.52055	-60.385792	4.269516	0.370757888193167
"3707"	"hopU"	-41.658934	-41.024391	1.269086	0.866598287818287
"3708"	"hopV"	-58.191609	-54.788214	6.80679	0.146457621459014
"3709"	"hopW"	-71.067845	-73.566447	-4.997204	1
"3710"	"hopX"	-105.17302	-104.577067	1.191906	0.879429435952242
"3711"	"hopY"	-37.628573	-37.594522	0.068102	0.999433258545947
"3712"	"hopZ"	-96.858463	-93.36544	6.986046	0.136627470425644
"3713"	"avrA"	-54.343394	-51.588513	5.509762	0.238872723545728
"3714"	"avrB"	-91.525608	-87.142579	8.766058	0.067220449271747
"3715"	"avrD1"	-82.054192	-78.005557	8.09727	0.0880793566914361
"3716"	"avrE1"	-56.804156	-56.394297	0.819718	0.935785214420439
"3717"	"avrPto"	-86.887975	-81.629934	10.516082	0.0325761842143231
"3718"	"avrRpm"	-80.74256	-78.97918	3.52676	0.473821110823837
"3719"	"avrRps4"	-76.409386	-73.46681	5.885152	0.207890935943843
"3720"	"avrRpt2"	-50.977588	-50.369227	1.216722	0.875337850795832
"3721"	"hopA1"	-91.697977	-90.265385	2.865184	0.580634014243189
"3722"	"hopAA"	-76.032166	-74.087889	3.888554	0.421298481684533
"3723"	"hopAB"	-86.238309	-78.547158	15.382302	0.00397056999746935
"3724"	"hopAD"	-39.664812	-39.432969	0.463686	0.976938498677119
"3725"	"hopAE"	-79.711518	-76.378361	6.666314	0.154608274179437
"3726"	"hopAF"	-104.844268	-101.483132	6.722272	0.151313198787878
"3727"	"hopAG"	-66.818747	-64.571919	4.493656	0.343300377033553
"3728"	"hopAH"	-55.769689	-53.958621	3.622136	0.459551843483604
"3729"	"hopAI"	-60.369009	-58.158369	4.42128	0.351983948321222
"3730"	"hopAL"	-53.692517	-51.715395	3.954244	0.412233666809372
"3731"	"hopAM"	-52.902758	-51.794676	2.216164	0.696071098639933
"3732"	"hopAO"	-69.468744	-66.696156	5.545176	0.235786920294632
"3733"	"hopAQ"	-39.664812	-39.434228	0.461168	0.977169505044812
"3734"	"hopAR"	-72.990154	-66.985392	12.009524	0.0172805826756364
"3735"	"hopAS"	-56.806437	-54.920769	3.771336	0.437835686318994
"3736"	"hopAT"	-77.775445	-75.737109	4.076672	0.395728858553877
"3737"	"hopAU"	-50.370235	-49.582688	1.575094	0.813261387674109
"3738"	"hopAV"	-67.008293	-64.477934	5.060718	0.281123997564438
"3739"	"hopAW"	-57.535763	-55.978361	3.114804	0.538800395417284
"3740"	"hopAX"	-48.062667	-47.246082	1.63317	0.80281848623071
"3741"	"hopAY"	-99.399526	-94.521136	9.75678	0.0447301689200971
"3742"	"hopAZ"	-97.305653	-96.242785	2.125736	0.712645802670983
"3743"	"hopBA"	-56.758852	-55.319245	2.879214	0.578237821390744
"3744"	"hopBB"	-76.42517	-71.518668	9.813004	0.0436982063658082
"3745"	"hopBC"	-55.903204	-54.44996	2.906488	0.573594390255541
"3746"	"hopBD"	-75.964314	-72.685547	6.557534	0.161201182065713
"3747"	"hopBE"	-48.555698	-46.05191	5.007576	0.28652103324931
"3748"	"hopBF"	-84.05626	-69.064645	29.98323	4.9330629360284e-06
"3749"	"hopBG"	-39.624522	-39.192427	0.86419	0.929641182196469
"3750"	"hopBH"	-43.955988	-43.322318	1.26734	0.866891909056058
"3751"	"hopBI"	-55.395777	-54.06688	2.657794	0.616620057377779
"3752"	"hopBJ"	-34.974571	-34.956025	0.037092	0.999830134551145
"3753"	"hopBK"	-49.271546	-48.626124	1.290844	0.862927057292376
"3754"	"hopBL"	-56.57954	-54.632185	3.89471	0.420442798043353
"3755"	"hopB"	-58.450129	-57.294662	2.310934	0.678779060046901
"3756"	"hopC"	-57.268023	-55.123157	4.289732	0.368212626573109
"3757"	"hopD"	-72.281583	-69.571423	5.42032	0.246822704009646
"3758"	"hopE"	-63.300446	-62.992318	0.616256	0.961240258488664
"3759"	"hopF"	-78.609322	-74.585759	8.047126	0.0898670828860606
"3760"	"hopG"	-67.677583	-65.619371	4.116424	0.390478812499118
"3761"	"hopH"	-90.624016	-83.100074	15.047884	0.00460292600296487
"3762"	"hopI"	-47.078015	-45.932371	2.291288	0.682355661288527
"3763"	"hopK"	-39.664812	-39.433857	0.46191	0.977101532993097
"3764"	"hopM"	-74.737348	-71.215505	7.043686	0.133597551399211
"3765"	"hopN"	-51.850712	-51.206486	1.288452	0.863331753200772
"3766"	"hopO"	-65.655995	-64.074385	3.16322	0.530891948807211
"3767"	"hopQ"	-71.010277	-68.359892	5.30077	0.257804854409634
"3768"	"hopR"	-71.972372	-69.070651	5.803442	0.214316097610464
"3769"	"hopS"	-42.011965	-41.853625	0.31668	0.988712137164696
"3770"	"hopT"	-62.52055	-60.385859	4.269382	0.370774804967909
"3771"	"hopU"	-41.658934	-41.015369	1.28713	0.863555304176727
"3772"	"hopV"	-58.191609	-54.758056	6.867106	0.143079951180482
"3773"	"hopW"	-71.067845	-68.769563	4.596564	0.331250539451382
"3774"	"hopX"	-105.17302	-104.577066	1.191908	0.879429107559872
"3775"	"hopY"	-37.708436	-37.61744	0.181992	0.996102654922906
"3776"	"hopZ"	-96.858463	-93.724917	6.267092	0.180069864773408
"3777"	"avrA"	-54.343394	-51.703129	5.28053	0.259705100950225
"3778"	"avrB"	-91.525608	-87.186169	8.678878	0.0696468080157248
"3779"	"avrD1"	-82.054192	-78.005557	8.09727	0.0880793566914361
"3780"	"avrE1"	-56.804156	-56.394297	0.819718	0.935785214420439
"3781"	"avrPto"	-86.887975	-81.667882	10.440186	0.0336309622231432
"3782"	"avrRpm"	-80.74256	-78.981507	3.522106	0.474525049345077
"3783"	"avrRps4"	-76.409386	-73.4668	5.885172	0.207889384336824
"3784"	"avrRpt2"	-50.977588	-50.371866	1.211444	0.87621086781388
"3785"	"hopA1"	-91.697977	-90.265385	2.865184	0.580634014243189
"3786"	"hopAA"	-76.032166	-74.087887	3.888558	0.421297925269121
"3787"	"hopAB"	-86.238309	-78.610511	15.255596	0.00419942073310657
"3788"	"hopAD"	-39.664812	-39.431411	0.466802	0.976651294035805
"3789"	"hopAE"	-79.711518	-76.378008	6.66702	0.154566297785408
"3790"	"hopAF"	-100.815911	-101.438214	-1.244606	1
"3791"	"hopAG"	-66.818747	-64.489595	4.658304	0.324187125167566
"3792"	"hopAH"	-55.769689	-53.973306	3.592766	0.463913946721528
"3793"	"hopAI"	-60.369009	-58.108158	4.521702	0.339981934793993
"3794"	"hopAL"	-53.692517	-51.50635	4.372334	0.357954866033183
"3795"	"hopAM"	-52.902758	-51.794442	2.216632	0.695985483829385
"3796"	"hopAO"	-69.468744	-66.753684	5.43012	0.245940615838805
"3797"	"hopAQ"	-39.664812	-39.432574	0.464476	0.976865823356234
