no	effector	l1	l2	p.value
"127"	"hopY"	-37.636695	-37.574352	0.124686	0.998135586374639
"128"	"hopZ"	-96.858463	-93.728967	6.258992	0.180623480181284
"129"	"avrA"	-54.343394	-51.499571	5.687646	0.223720996292485
"130"	"avrB"	-91.525608	-87.196956	8.657304	0.0702599248406719
"131"	"avrD1"	-82.054192	-78.005557	8.09727	0.0880793566914361
"132"	"avrE1"	-56.804156	-56.394297	0.819718	0.935785214420439
"133"	"avrPto"	-86.887975	-81.677172	10.421606	0.0338941513901017
"134"	"avrRpm"	-80.74256	-78.97942	3.52628	0.473893680219924
"135"	"avrRps4"	-76.409386	-73.466791	5.88519	0.207887987899264
"136"	"avrRpt2"	-50.977588	-50.369525	1.216126	0.875436507846796
"137"	"hopA1"	-91.697977	-90.265386	2.865182	0.580634356187818
"138"	"hopAA"	-76.032166	-74.087889	3.888554	0.421298481684533
"139"	"hopAB"	-86.238309	-78.586071	15.304476	0.0041096394302161
"140"	"hopAD"	-39.664812	-39.436372	0.45688	0.977560664418168
"141"	"hopAE"	-79.711518	-76.377866	6.667304	0.154549415022427
"142"	"hopAF"	-100.815911	-101.59566	-1.559498	1
"143"	"hopAG"	-66.818747	-64.590259	4.456976	0.34767954059511
"144"	"hopAH"	-55.769689	-53.946178	3.647022	0.455878088951254
"145"	"hopAI"	-60.369009	-58.169156	4.399706	0.354605941937502
"146"	"hopAL"	-53.692517	-51.694124	3.996786	0.406440992058356
"147"	"hopAM"	-52.902758	-51.780686	2.244144	0.690956071130218
"148"	"hopAO"	-69.468744	-66.74649	5.444508	0.244650503984118
"149"	"hopAQ"	-39.664812	-39.43498	0.459664	0.977307023222797
"150"	"hopAR"	-72.990154	-66.985392	12.009524	0.0172805826756364
"151"	"hopAS"	-56.806437	-54.946524	3.719826	0.445248914304179
"152"	"hopAT"	-77.775445	-75.767167	4.016556	0.403769875678541
"153"	"hopAU"	-50.369449	-49.568819	1.60126	0.808565655801681
"154"	"hopAV"	-67.008293	-64.485817	5.044952	0.282716161207378
"155"	"hopAW"	-57.535763	-55.959302	3.152922	0.53256823533067
"156"	"hopAX"	-48.062667	-47.24291	1.639514	0.801673369270518
"157"	"hopAY"	-99.399526	-96.500768	5.797516	0.214788821502796
"158"	"hopAZ"	-97.305653	-96.451152	1.709002	0.789081756717136
"159"	"hopBA"	-56.758852	-55.319958	2.877788	0.578481135540109
"160"	"hopBB"	-76.42517	-71.56151	9.72732	0.0452801732909755
"161"	"hopBC"	-55.903204	-54.447698	2.911012	0.572826070625306
"162"	"hopBD"	-75.964314	-72.749197	6.430234	0.169239628045745
"163"	"hopBE"	-48.567874	-46.093885	4.947978	0.292677049332594
"164"	"hopBF"	-84.05626	-69.119134	29.874252	5.19156874203867e-06
"165"	"hopBG"	-39.624522	-39.173359	0.902326	0.924226880247488
"166"	"hopBH"	-43.955988	-43.306503	1.29897	0.861550262232971
"167"	"hopBI"	-55.395777	-54.077837	2.63588	0.620480475987339
"168"	"hopBJ"	-35.02654	-34.921883	0.209314	0.994890975233808
"169"	"hopBK"	-49.271546	-48.633527	1.276038	0.865427724456086
"170"	"hopBL"	-56.57954	-54.635229	3.888622	0.42128902269603
"171"	"hopB"	-58.450129	-57.292409	2.31544	0.677959388806924
"172"	"hopC"	-57.268023	-55.132581	4.270884	0.370585220067589
"173"	"hopD"	-72.281583	-69.531705	5.499756	0.239750928155167
"174"	"hopE"	-63.300446	-62.781561	1.03777	0.904015758335556
"175"	"hopF"	-78.609322	-74.58576	8.047124	0.0898671548640582
"176"	"hopG"	-67.677583	-65.61269	4.129786	0.388726082499459
"177"	"hopH"	-90.624016	-83.100075	15.047882	0.00460293006589295
"178"	"hopI"	-46.891243	-45.93424	1.914006	0.751571614719173
"179"	"hopK"	-39.664812	-39.430239	0.469146	0.976434273970208
"180"	"hopM"	-74.737348	-71.215505	7.043686	0.133597551399211
"181"	"hopN"	-51.850712	-51.206577	1.28827	0.863362534357036
"182"	"hopO"	-65.655995	-64.074385	3.16322	0.530891948807211
"183"	"hopQ"	-71.010277	-68.396984	5.226586	0.264828335073198
"184"	"hopR"	-71.972372	-69.137026	5.670692	0.225127955432995
"185"	"hopS"	-42.011965	-41.855258	0.313414	0.988931882359098
"186"	"hopT"	-62.52055	-60.385827	4.269446	0.370766725239142
"187"	"hopU"	-41.658934	-40.99632	1.325228	0.857080924339974
"188"	"hopV"	-58.191609	-54.776122	6.830974	0.145094668085116
"189"	"hopW"	-71.067845	-68.78913	4.55743	0.335791978398231
"190"	"hopX"	-105.17302	-104.577067	1.191906	0.879429435952242
"191"	"hopY"	-37.666576	-37.599552	0.134048	0.99785177578117
"192"	"hopZ"	-96.858463	-93.730383	6.25616	0.180817400823282
"193"	"avrA"	-54.343394	-51.498357	5.690074	0.223520136184443
"194"	"avrB"	-91.525608	-87.150061	8.751094	0.0676311459103075
"195"	"avrD1"	-82.054192	-78.005557	8.09727	0.0880793566914361
"196"	"avrE1"	-56.804156	-56.394297	0.819718	0.935785214420439
"197"	"avrPto"	-86.887975	-81.73694	10.30207	0.0356354396805285
"198"	"avrRpm"	-80.74256	-78.982079	3.520962	0.474698192978166
